provinceid,countryname,provincename,recordstatus
1,Indonesia,BALI,1
2,Indonesia,BANTEN,1
3,Indonesia,BENGKULU,1
4,Indonesia,D I YOGYAKARTA,1
5,Indonesia,DKI JAKARTA,1
6,Indonesia,JAMBI,1
7,Indonesia,JAWA BARAT,1
8,Indonesia,JAWA TENGAH,1
9,Indonesia,JAWA TIMUR,1
10,Indonesia,KALIMANTAN BARAT,1
11,Indonesia,KALIMANTAN SELATAN,1
12,Indonesia,KALIMANTAN TENGAH,1
13,Indonesia,KALIMANTAN TIMUR,1
14,Indonesia,KEP. BANGKA BELITUNG,1
15,Indonesia,KEPULAUAN RIAU,1
16,Indonesia,LAMPUNG,1
17,Indonesia,MALUKU,1
18,Indonesia,MALUKU UTARA,1
19,Indonesia,N.A.D,1
20,Indonesia,NUSA TENGGARA BARAT,1
21,Indonesia,NUSA TENGGARA TIMUR,1
22,Indonesia,PAPUA,1
23,Indonesia,R I A U,1
24,Indonesia,SULAWESI SELATAN,1
25,Indonesia,SULAWESI TENGAH,1
26,Indonesia,SULAWESI TENGGARA,1
27,Indonesia,SULAWESI UTARA,1
28,Indonesia,SUMATERA BARAT,1
29,Indonesia,SUMATERA SELATAN,1
30,Indonesia,SUMATERA UTARA,1